Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"BA, Starch rep1",1.0,0.0,0.582699984312057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46977675230376,0,0,0,0,1,0
"BA, Starch rep1",2.0,0.0,0.5973000228405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.48204452351988,0,0,0,0,1,0
"BA, Starch rep2",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"BA, Starch rep2",1.0,0.0,0.558700010180474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.49877351540952,0,0,0,0,1,0
"BA, Starch rep2",2.0,0.0,0.605599984526635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47151079433078,0,0,0,0,1,0
"BA, Starch rep3",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,1,0
"BA, Starch rep3",1.0,0.0,0.527900010347366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44230380171898,0,0,0,0,1,0
"BA, Starch rep3",2.0,0.0,0.578200012445449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43442087174224,0,0,0,0,1,0
"BA, Xylan rep1",0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0,0,0,0,0,1
"BA, Xylan rep1",1.0,0.0,0.182899996638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.72009035078251,0,0,0,0,0,1
