Experiments,Time,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,pH,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"BH, Xylan",45.0,0.0,0.0,0.040399997184674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.865056719341264,0.0,0.0,0.0,0.0,0.0,1.0
"BH, none",0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"BH, none",45.0,0.0,0.0,0.020733332882325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.894724032546168,0.0,0.0,0.0,0.0,0.0,0.0
"BL, AcGum",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"BL, AcGum",45.0,0.0,0.0,0.0,0.0032666673262913334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.907379060427773,1.0,0.0,0.0,0.0,0.0,0.0
"BL, ArGal",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"BL, ArGal",45.0,0.0,0.0,0.0,-0.0010333321988583333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9196259957227255,0.0,1.0,0.0,0.0,0.0,0.0
"BL, Inulin",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"BL, Inulin",45.0,0.0,0.0,0.0,0.6035666589935621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.771598666152706,0.0,0.0,1.0,0.0,0.0,0.0
"BL, Pectin",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"BL, Pectin",45.0,0.0,0.0,0.0,0.145733334124088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.836980316526756,0.0,0.0,0.0,1.0,0.0,0.0
"BL, Starch",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"BL, Starch",45.0,0.0,0.0,0.0,-0.011333328982194002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.920971291377232,0.0,0.0,0.0,0.0,1.0,0.0
"BL, Xylan",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"BL, Xylan",45.0,0.0,0.0,0.0,-0.001199999203284667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.899714940795384,0.0,0.0,0.0,0.0,0.0,1.0
"BL, none",0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"BL, none",45.0,0.0,0.0,0.0,-0.004033333311478334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.919619233675147,0.0,0.0,0.0,0.0,0.0,0.0
"BU, AcGum",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"BU, AcGum",45.0,0.0,0.0,0.0,0.0,0.044433332979679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.897087962945977,1.0,0.0,0.0,0.0,0.0,0.0
"BU, ArGal",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,1.0,0.0,0.0,0.0,0.0
"BU, ArGal",45.0,0.0,0.0,0.0,0.0,0.348800007253885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.615302254765297,0.0,1.0,0.0,0.0,0.0,0.0
"BU, Inulin",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,1.0,0.0,0.0,0.0
"BU, Inulin",45.0,0.0,0.0,0.0,0.0,0.7424666807055473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.757410491302593,0.0,0.0,1.0,0.0,0.0,0.0
"BU, Pectin",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,1.0,0.0,0.0
"BU, Pectin",45.0,0.0,0.0,0.0,0.0,0.2790333206454913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.470284689810754,0.0,0.0,0.0,1.0,0.0,0.0
"BU, Starch",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0
"BU, Starch",45.0,0.0,0.0,0.0,0.0,0.572399988770485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.752638399517096,0.0,0.0,0.0,0.0,1.0,0.0
"BU, Xylan",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,1.0
"BU, Xylan",45.0,0.0,0.0,0.0,0.0,0.19723333542545632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.759554497033051,0.0,0.0,0.0,0.0,0.0,1.0
"BU, none",0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0
"BU, none",45.0,0.0,0.0,0.0,0.0,0.0010000020265579998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9632199015637966,0.0,0.0,0.0,0.0,0.0,0.0
"CA, AcGum",0.0,0.0,0.0,0.0,0.0,0.0,0.0006667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,1.0,0.0,0.0,0.0,0.0,0.0
"CA, AcGum",45.0,0.0,0.0,0.0,0.0,0.0,0.010966666042804668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.90765988605084,1.0,0.0,0.0,0.0,0.0,0.0
