Experiments,DFabs<--ACabs,DFabs<--BAabs,DFabs<--BHabs,DFabs<--BLabs,DFabs<--BUabs,DFabs<--CAabs,DFabs<--CCabs,DFabs<--CHabs,DFabs<--DFabs,DFabs<--ELabs,DFabs<--ERabs,DFabs<--FPabs,DFabs<--PCabs,DFabs<--PJabs,DFabs<--RIabs,DFabs<--pH,DFabs<--Lactate,DFabs<--Butyrate,DFabs<--Acetate,DFabs<--AcGum,DFabs<--ArGal,DFabs<--Inulin,DFabs<--Pectin,DFabs<--Starch,DFabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, Starch",0.0009722129797393633,-0.004028465172106569,0.00044848571785471717,0.0023782067458060665,0.004742224721068686,-0.003619422167539597,-0.002554857771505009,-0.0008582161570137202,0.02111051292073998,0.0074224566380408676,-0.0059336108206347995,-0.0018477833220227199,0.0045228681036017186,-0.0006531023555858575,-0.002619662821631541,-0.02883755051784895,0.0,0.0,0.0,-0.0029606834985315797,-0.00857642828063531,-0.04992064080455086,-0.01285713890567422,0.061967748361216345,-0.0046494160016829315,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",-0.0031782396459444,-0.002673538886010648,-0.0011415194042704326,-0.0004899652505462819,0.0029453529552979914,-0.004183156459846279,-0.00813416284255006,5.7493671774864374e-05,0.0145393145321445,0.011469394083727491,-0.00568265356292779,-0.0006099017455496566,0.006361494470726361,0.0030396904864094477,-0.0008368294110352344,-0.01705547986721451,0.0,0.0,0.0,-0.0017498244412920687,-0.004837101552296768,-0.05057594369250265,-0.01372266540642489,-0.004886760598217899,0.05499274357476019,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BA, *AcGum",0.0019179656779901542,0.003933957144618036,0.00013832042163068552,0.001385510287840258,0.004182500796900555,-0.003768068866973573,-0.01674010696905581,0.0007987127283757376,0.024636981045319275,0.010064044354314154,-0.01486201319166205,-0.00020379284058104848,0.006014715742997148,0.0024797091548415745,-0.002541985637085004,-0.04440861405127427,0.0,0.0,0.0,-0.005118488975885239,0.0066380777447061085,-0.02834542738443071,0.007106310904703356,0.007137256630442359,0.013202171203765,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",0.0018514544245871632,0.003897604534233158,0.00010826471515677231,0.0036613618193024927,0.003557188924063336,-0.0040383577854795905,-0.010276622968641194,0.00047077613628723357,0.02350055319172415,0.008983601186085832,-0.012812786429104479,0.00013903566551479375,0.006602720492942766,0.0023927861265838142,-0.0010235023109072994,-0.04445945216004144,0.0,0.0,0.0,0.013506042298606847,-0.008576520798219876,-0.02769578638232567,0.002536665917458859,0.003610557165335525,0.007712158662351695,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",0.0012530170651999387,0.0034194420345804916,0.0002836968648162754,0.0012197949212383137,0.004780149591917341,-0.0022466513903980916,-0.01205310256305066,0.0011067385971546178,0.020942863816903398,0.013005339604887095,-0.012944131828844548,-0.000750307205387137,0.00626767654310573,0.0022455204176631844,-0.0007137356613847346,-0.03924129189246079,0.0,0.0,0.0,0.010275270908393641,0.0029963074760003513,-0.04781565570865166,0.006219828211787071,0.00710568241267042,0.008291287618604575,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.00015033622526309688,0.004122766981070693,0.0007280692407353367,0.003070318206128747,0.003298387366601012,-1.379956067963114e-05,-0.014827557710761368,0.006849682652814823,0.020580816035243595,0.010207355499944904,-0.008496056659655138,0.001009699343280359,0.005622431441125544,0.0017509104768660938,-0.0034104080921546977,-0.04806172526695512,0.0,0.0,0.0,0.008861103296618574,0.006392464238134296,-0.02599007066169923,-0.011539408864284102,0.0038310778310353096,0.009511347423222934,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",0.001243690328503197,0.002352784389460629,-0.0004972709766165775,0.003574474010277878,0.00597626463256099,-0.0031597305444831204,-0.011538954969834198,0.002300408866933801,0.024146485348994082,0.006786084803329272,-0.01082263309000568,-0.0002972803603519085,0.0066134375012056375,0.00214893550188704,-0.002656107827682386,-0.041322639906270935,0.0,0.0,0.0,0.010487330261279236,0.006273401203480633,-0.02723938920789145,0.005458218976855279,-0.017086382230574435,0.010906610509211366,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",5.5414795536887344e-05,0.0038084576075727294,3.347795117985193e-05,0.0016470636749132115,0.0034483384476466606,-0.0001896633817390961,-0.01746845275502313,0.006215952372347766,0.023745797179978004,0.010387082560495899,-0.015076102814213798,-7.433649999174156e-05,0.006225895233113659,0.0036237796666947274,-0.0010892196676947857,-0.04122964665463025,0.0,0.0,0.0,0.009699316415935756,0.005591669660061599,-0.024775171373039483,0.007349136419255623,0.00014243238690224557,-0.00842347938059406,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",0.0001870513148605828,0.005752535022117877,5.918109789490628e-05,0.0012492682700130065,0.003999540292742578,-0.0025391771085560328,-0.004648383840579877,-0.0010319618440487177,0.02458147675984285,0.00750540738078681,-0.002071282049133019,-0.0009251787970689208,0.0038995444554496893,0.0025926884314553295,-0.003344281706959011,-0.033517993957820263,0.0,0.0,0.0,0.05679782297800889,-0.006041700003499334,-0.05030452559956095,-0.011497765462845562,-0.011910843629051338,-0.0051436864144422815,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",0.0010327427868138661,0.0005752402239225122,9.28209823640914e-05,0.0020815049924633715,0.004009586337276481,0.0016563536802476117,-0.011305243691260165,0.0003592840108004477,0.02437627836553888,0.004100216037847778,-0.00477737791497599,-0.0005195984108881515,0.0051712993955747655,0.0003823775628750968,-0.0027013497867367487,-0.03333796802230856,0.0,0.0,0.0,-0.0011138588579540894,0.05969556061889638,-0.04333936960859733,-0.007211707982827317,-0.016754966765980824,-0.008824073868719013,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
