Experiments,CCabs<--ACabs,CCabs<--BAabs,CCabs<--BHabs,CCabs<--BLabs,CCabs<--BUabs,CCabs<--CAabs,CCabs<--CCabs,CCabs<--CHabs,CCabs<--DFabs,CCabs<--ELabs,CCabs<--ERabs,CCabs<--FPabs,CCabs<--PCabs,CCabs<--PJabs,CCabs<--RIabs,CCabs<--pH,CCabs<--Lactate,CCabs<--Butyrate,CCabs<--Acetate,CCabs<--AcGum,CCabs<--ArGal,CCabs<--Inulin,CCabs<--Pectin,CCabs<--Starch,CCabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
BA-BL-BU-CA-CC-CH-EL-ER-PC-PJ-RI-AcGum-Starch,-0.019866896027868442,-0.010909628719091414,0.007204427502372049,0.004146922972391955,0.0005199908228083097,-0.005250806662846699,0.07640980262309315,-0.0007340743629769852,-0.0034690244969996535,0.014550431482493874,-0.013661330975592132,-0.0027029796486551117,-0.0018002778494899923,0.004521668502552944,-0.004358828806064345,0.018182219923897222,0.0,0.0,0.0,0.04987223923544993,-0.011310840513218536,-0.05966857247731902,-0.015540167899294337,0.06063144706866958,-0.005716739628802642,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.6881322633868306,0.999950002499775,0.0,0.7936507936507142,0.999950002499775,1.0,0.5,0.0,0.0,0.0,0.5,0.0
BA-BL-BU-CA-CC-EL-FP-RI-ArGal,-0.018201520740985865,-0.006614813164553859,0.004673547880216077,0.0022727231308817884,0.006384349038655108,-0.0057917046479203475,0.0917813688550483,0.001414589902216741,-0.003287954523482107,0.010769431147385726,0.0193992446701635,0.0019359395517544312,0.0016747957230968905,-0.0014568086374889733,-5.020058290525087e-05,0.014953782389109783,0.0,0.0,0.0,-0.010063539861955427,0.1067736015130173,-0.10932540877298877,-0.011616089665754274,-0.021574336060068824,-0.007682405716993589,0.0,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.0,0.6999650017498125,0.0,1.0,0.20634920634916665,0.0,0.6687063737793209,0.0,1.0,0.0,0.0,0.0,0.0
BA-BL-BU-CA-CC-ER-FP-PC-Starch,-0.012943924411453983,-0.007896500947800549,0.002015409869226544,0.003888211500915613,0.0035839356143366227,-0.023051624931395055,0.0686180983077396,0.0024323436143723425,-0.006085224971175195,-0.014364545023576784,-0.010590271939608183,-0.0027368957820263777,-0.0037379422445188853,-0.0009549154408953393,0.0005987262996760292,0.02064360289072448,0.0,0.0,0.0,-0.017659410759806635,-0.013415471891110597,-0.09009252716871827,-0.024294081337072636,0.12496734271333977,-0.01292957254092802,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.0,0.0,0.999950002499775,0.7142857142856683,0.7936507936507142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BA-BL-BU-CA-CC-ER-FP-RI-Inulin,-0.012703848894346838,-0.002001210610297592,0.01801366759633476,-0.02445733411745592,-0.008196666819805454,-0.03166603753851219,0.096613417589529,0.013119874339212073,0.0017220164124261258,-0.028080148625780243,-0.022178359129889445,0.0019324799051338992,0.0058267015184868464,-0.006275523674081674,-0.006273221177133647,0.021243511462076148,0.0,0.0,0.0,-0.019664179344068868,-0.027397405735471028,0.18407310973852872,-0.038460082618350336,-0.04070390361615202,-0.004956540387462487,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.0,0.0,0.999950002499775,0.7142857142856683,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BA-BL-BU-CA-CC-FP-PC-Starch,-0.017568701691925526,-0.011553841859779578,0.001912221068685703,0.0020889510688456643,0.0062551688064228375,-0.022970479296689685,0.07393000865185802,0.0008256242729046116,-0.0025390280986374086,-0.016435156027701767,0.012801165993918074,-0.002600464692169969,-0.0031105489351532676,-0.0005494513531977426,0.00010347748683257238,0.01843390572477471,0.0,0.0,0.0,-0.018865547342733897,-0.013488067710264161,-0.0867543553899635,-0.023854617567902258,0.12613202208822424,-0.019023138572546564,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.0,0.0,0.0,0.7142857142856683,0.7936507936507142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BA-BL-BU-CA-CH-DF-EL-ER-PC-Xylan,-0.01104973904788494,-0.002422122589566491,0.0025295560536059453,-9.794128889387124e-05,0.0002976352010260928,-0.0014650565453551026,-0.03259951324286786,-0.0011599433354356067,0.00030511136082085724,0.0028886748918078163,-0.002621153359386055,-7.471719587391024e-05,-0.001863201829520139,-0.00026906218379735926,0.0003084564886309883,0.0028981606425209482,0.0,0.0,0.0,-0.004629560421136291,-0.003909640715203502,-0.01082099213180217,-0.006073995445939628,-0.009433298337865959,0.012379719018936159,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.6881322633868306,0.999950002499775,0.0,0.7936507936507142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
BA-BL-BU-CA-CH-ER-Starch,-0.007256621098653835,-0.001457899883389474,0.0020722063867883254,0.0006517224928194818,0.00046226898038929145,-0.0031235799057917164,-0.0636740397594192,-0.0013541249422864487,-0.0007999312098730698,-0.007903378836133262,-0.0025733786956830458,-0.0003118359771641828,0.0018570333143526864,-0.000900712649930607,0.002168879549611699,0.006451741026883776,0.0,0.0,0.0,-0.007015542120418766,-0.003790949454361742,-0.015348912003365432,-0.007415148988366127,0.04583856438032605,-0.003458982316607778,0.0,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.999950002499775,0.0,0.0,0.999950002499775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
BA-BL-BU-CA-PC-RI-Xylan,-0.007052159221334891,-0.0030132149363105948,0.0020638750324195082,-0.0005875585058873344,0.0003629601509733634,-0.0019822808151895343,-0.03577557837759907,0.0020244924351573,-0.0023544442314993256,-0.006936282166703181,0.006177481453527104,7.12696022608071e-05,-0.0013249666717919438,-0.00047509261491623776,-0.00023688716983253234,0.004051687829196454,0.0,0.0,0.0,-0.00427480621771379,-0.004568066214295951,-0.014420211162756791,-0.007935711172494022,-0.009538400288332595,0.01884127047251571,0.0,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.999950002499775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6687063737793209,0.0,0.0,0.0,0.0,0.0,1.0
BA-BL-BU-CC-CH-EL-RI-Inulin,-0.03185577287931334,0.006425213942473581,0.02026408518579873,-0.022943842109631407,0.011805260425264186,0.027890343232588342,0.1252907234057784,-0.01070764424110001,0.0022551903399554165,0.006015397655692967,0.028021940091116863,-0.004717001393437389,0.004356893399222333,0.0010097688571973284,-0.0020494252409447335,0.0217769007384777,0.0,0.0,0.0,-0.01838290043852546,-0.025302076495506545,0.1895299144902013,-0.026727051409808064,-0.038285981873896986,-0.0029800991443070493,0.0,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.0,0.6999650017498125,0.0,0.0,0.20634920634916665,0.0,0.6687063737793209,0.0,0.0,1.0,0.0,0.0,0.0
BA-BL-BU-CC-CH-ER-PC-Pectin,0.005332910906184803,-0.013356055525893517,0.00590085305273533,0.004416345324028622,-0.007058308581736955,0.01655013728209517,0.07445174027572977,-0.011311435235494917,-0.0008005284010009321,-0.0030343050679022595,-0.013492695160887457,0.0035178091004490837,-0.0069034970924258246,-0.0007642728124152512,0.004554005715657363,0.018076731819998134,0.0,0.0,0.0,-0.0128262147070332,-0.01267591906203465,-0.08926727501167492,0.1056562593443827,-0.02789116165516051,-0.006262515207583252,0.0,0.999950002499775,0.0,0.8895555222237889,0.999950002499775,0.0,0.999950002499775,0.999950002499775,0.0,0.0,0.999950002499775,0.0,0.7936507936507142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
