Experiments,CAabs<--ACabs,CAabs<--BAabs,CAabs<--BHabs,CAabs<--BLabs,CAabs<--BUabs,CAabs<--CAabs,CAabs<--CCabs,CAabs<--CHabs,CAabs<--DFabs,CAabs<--ELabs,CAabs<--ERabs,CAabs<--FPabs,CAabs<--PCabs,CAabs<--PJabs,CAabs<--RIabs,CAabs<--pH,CAabs<--Lactate,CAabs<--Butyrate,CAabs<--Acetate,CAabs<--AcGum,CAabs<--ArGal,CAabs<--Inulin,CAabs<--Pectin,CAabs<--Starch,CAabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*BA, *AcGum",0.015500520413572133,0.004679646810347381,-0.0028950825096531337,-0.006387220553376454,0.015333599309352318,0.11171798128634691,-0.001349859505214475,-0.006422327946532855,-0.00721798804165287,-0.03729189675301314,0.0716991567306898,-0.01333909947425127,0.0004838552918623716,-0.002536859850991859,0.013020289215174593,0.09825336953794413,0.0,0.0,0.0,0.028270722112872383,-0.011364416764541106,0.025199080661616545,-0.0007497230341488713,0.02301393579352986,-0.0202909065681425,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",0.017796048650687388,0.004531274454837497,-0.0016521713408556885,-0.005590548872609034,0.022106176878918304,0.11311299029229716,-0.02024399688636715,-0.009944127831946724,-0.00741677633740685,-0.037233673395081,0.06562824020331555,-0.013326132497326894,0.018050403100523076,-0.009167912439866503,0.009170291437344116,0.1087162201174281,0.0,0.0,0.0,-0.004204911386424841,0.028085979710925704,0.016242474969476464,-0.0016925934600559136,0.02735287908803333,-0.030036535745655946,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",0.010686940787868065,0.004341733750294553,-0.0031182596222920867,-0.0052507023835046745,0.01587143674492836,0.0957988815145059,-0.005132756277241488,-0.009186988665976307,-0.00916960130360994,-0.041576213691044944,0.05848810260438108,-0.011734859672459685,0.02083743981678378,-0.0019366942244497217,0.012570523772050033,0.09564845012670213,0.0,0.0,0.0,-0.006929787272079424,-0.019640210579064756,0.028639492267234758,-0.0058369226313450115,0.02415728904645552,-0.033189483119005506,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.017408791753378776,0.00117001168091189,-0.004730897576294161,-0.007197806469418788,0.015001952556723895,0.10471639544449068,-0.014084348289126709,-0.008038729950785632,-0.006207607341083615,-0.034651427177542986,0.06498936205425047,-0.016765382520177143,-0.0063283095305616205,-0.0014451732249422492,0.01039688078517264,0.10856375162913041,0.0,0.0,0.0,-0.003465530218725861,-0.013265863724730237,0.016132706935432825,0.026783536018973046,0.032481544955887585,-0.027984255657277326,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",0.009691674492575908,0.025623113369061198,-0.0016193954731253068,0.003327302334999498,0.018111208954995326,0.10360611800104377,-0.011283988339657132,-0.009289246226914906,-0.00974603234028275,-0.03875784278931944,0.046996726380153134,-0.013520320406691598,0.006081119357523593,-0.0049769909442825755,0.007943786555393177,0.09375622231174602,0.0,0.0,0.0,-0.005685505785725336,-0.015114416705275123,0.03068241468038071,0.0012410211258313856,0.002078658711503853,-0.028794550535015086,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",0.018538441312584024,0.005001533227888023,-0.007266364249993457,-0.005878665860403669,0.01538545729761774,0.11450655713000081,-0.01765747638588602,-0.006737344166771931,-0.010271409282630149,-0.0374839463796128,0.06393366656858812,-0.013150352581658144,0.00682286259125579,-0.0022391621429811858,0.00861224084076556,0.11527028932828796,0.0,0.0,0.0,-0.0078053376112471925,-0.018863320838321335,0.026113682402805847,-0.006224809847772122,0.030907122665508234,0.039303347278725025,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",0.007012282572686673,-0.0018043746917762546,0.0006689114242114792,-0.006566424031149254,0.0159605451520871,0.07997158689255064,-0.008465487890961495,-0.006105632096190341,-0.008774382885206825,-0.036230674926191565,0.04641558017920364,-0.0067036464387042975,0.005069744004444644,0.001591718222268597,0.009709679660472,0.09628610606220639,0.0,0.0,0.0,-0.14814856993542483,0.017558020952750338,0.002067530754614959,0.01655308739197525,-0.004971164895052261,0.021718066309324716,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",0.006609125516631387,0.028000095953995538,-0.006389714073051108,-0.0024769127673723483,0.013833476992493328,0.08222982124510135,-0.006029024472968144,-0.003854195221581241,-0.004360934753309593,-0.024053654457357795,0.04521416218104688,-0.007575665109536861,0.0008890138363296312,-0.0020273604311726303,0.012474747872488064,0.08920084988190369,0.0,0.0,0.0,0.02278439774431966,-0.14592962315814062,0.02234438195147297,0.016725785732269287,0.00224306344985962,0.025737868537279694,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*BA, Inulin",0.042660642913119357,-0.01731580663133751,-0.008515257327394053,0.03458712614056739,0.0305467391488227,0.1166516623205759,-0.03506982220506127,-0.0015199946916916085,-0.005414163585413581,-0.031522223028269666,0.09583693439987573,-0.029467432695356285,-0.009809703579680482,-0.0016573667932640414,0.006312425895170728,0.1311881358108737,0.0,0.0,0.0,0.022301419116556656,0.02903888261453671,-0.05346494954418051,0.045535475015640266,0.0039192078939893,0.04418648957867514,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*BA, Pectin",0.0045708339864557425,0.0014771695113317538,-0.0005167451467026348,-0.015040269124914301,0.011323213719508863,0.12013941856778479,-0.013234566683796321,-0.007331932972777974,-0.005889322016049512,-0.05364848719571124,0.05983312141488899,-0.01832191387022084,0.011355032028461047,-0.0056366547027772084,0.00898902008817954,0.09415701032023538,0.0,0.0,0.0,0.02677743818272244,0.022664535573937675,0.03357147480615161,-0.07577083705839786,0.009740409898487006,0.02707180686295032,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
"*BA, Starch",0.03189934904941103,-0.11521649459884924,-0.0016564881733872711,-0.05593452280556615,-0.0011497332257303363,0.08362527266314085,-0.0329049675065008,-0.0037163036452098324,0.0013611244884404261,-0.024884243492375724,0.04389333762228488,-0.044068333360959173,0.005860695564611395,-0.04343224659900775,0.00983882775699551,0.008173044069924138,0.0,0.0,0.0,0.001424926129931756,0.009702314544807786,-0.0239778198284859,0.011247265264391897,-0.0007598638839342385,0.013448138010095471,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*BA, Xylan",0.010939010141248056,0.01857973469590599,-0.00318289801478386,-0.0034948198361830305,0.0005652794665233666,0.07924760168418288,0.0037170288627120613,-0.010374394800852648,-0.007589205073362046,-0.03253848965533755,0.040036376416683186,-0.008116029555147342,0.011193162246861241,0.008857186138629913,0.010894328575919975,0.06507607304067775,0.0,0.0,0.0,0.01889329055493529,0.014411137544296,0.008052066007459707,0.010220524780452253,-0.0065659660778262414,-0.1644341721571982,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BH, *AcGum",0.01916348349303007,0.014627945695749746,0.018554149540987882,-0.0043923306126486174,0.015127091353589844,0.12273091794414953,-0.027008178586309606,-0.007986038862304251,-0.0025726580315015473,-0.0515590390800075,0.03547410200942646,-0.013217800378122114,0.009780966697091407,0.0007808036391030594,0.01103918260471387,0.13065782804211432,0.0,0.0,0.0,0.029669090224937952,-0.009097089875828137,0.005206794288348066,-0.005362799963490533,0.01648734691468152,-0.02148659473115748,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BH, *ArGal",0.02844776486131277,0.014932662086053322,0.02752766422588717,-0.0007568071782588971,0.015539694391191006,0.13093147908083416,-0.016983998245136304,-0.013749167980118222,-0.0036774463985453924,-0.055731362544677476,0.03407477500763807,-0.009446893893182283,0.012710760344158521,-0.0021299918165261136,0.0051671795242211995,0.12811713556674398,0.0,0.0,0.0,-0.006368891579860985,0.029937989894639357,-0.008235478682274172,-0.005210913582281627,0.010874718756160947,-0.02993958205323327,0.9999550022498874,0.9999550022498874,0.0,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
