Experiments,RIabs<--ACabs,RIabs<--BAabs,RIabs<--BHabs,RIabs<--BLabs,RIabs<--BUabs,RIabs<--CAabs,RIabs<--CCabs,RIabs<--CHabs,RIabs<--DFabs,RIabs<--ELabs,RIabs<--ERabs,RIabs<--FPabs,RIabs<--PCabs,RIabs<--PJabs,RIabs<--RIabs,RIabs<--pH,RIabs<--Lactate,RIabs<--Butyrate,RIabs<--Acetate,RIabs<--AcGum,RIabs<--ArGal,RIabs<--Inulin,RIabs<--Pectin,RIabs<--Starch,RIabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, Starch",-0.014756374921311032,-0.015810492580587213,0.000771232199939815,-0.002750090882182121,-0.017853937938132072,-0.0019105757298794658,-0.005406676513904875,-0.0033752717517993667,-0.0005369255353103983,0.0006822337582707423,0.0029904351417313914,-0.0053008895909244375,-0.00784064458175139,-0.008411305607719856,0.01838612043383447,-0.041232926290143614,0.0,0.0,0.0,-0.007114200802011925,-0.013615839200263675,-0.033433458225970915,-0.012094012424349786,0.06767317515882579,-0.027893291274932296,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",-0.023447378812865773,-0.023691487993029035,-0.0015318229184909293,-0.00514013568108732,-0.015165118432857772,-0.0008404085683551701,-0.002884146516973323,-7.68621130423113e-05,0.001128371361304413,0.0063824662362987365,-0.005075701976364307,-0.0023458814587105402,0.003882423961027103,-0.007624877085062592,0.02701953251253475,-0.03842452426864343,0.0,0.0,0.0,-0.001609485894441605,-0.012049391723491931,-0.04705420896410943,-0.02382705044001341,-0.027557345693084326,0.1073857833411206,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BA, *AcGum",0.0022880355234850542,0.010210075947371396,-3.533775494857271e-05,-0.00184465470977805,-0.008703586323694749,-0.003090732778337869,-0.003379749113863165,-0.0003648584674705158,-0.0009955091334202075,0.0065739129619164895,-0.0017655115066604174,0.0025239770419218325,0.002027615860781887,-0.004995942237702284,0.02110507457771085,-0.029221584326164285,0.0,0.0,0.0,-0.002515230608934706,0.0031295789439569825,-0.0060916111923076865,0.005131996362046764,-0.004837255057963458,-0.006651888598095288,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",0.0006660969589244239,0.014086102619767189,-5.845173177393911e-05,-0.0014637932892550124,-0.01225404317067428,-0.002887619198723273,-9.640565650029649e-05,-0.000719365111806175,-0.00013123308054425515,0.007485289675268261,-0.001881907446817918,-0.0021999213438142428,0.0017092018439011146,-0.004406179623170334,0.021581078418953844,-0.02747142008421096,0.0,0.0,0.0,0.006817953532392326,-0.00635404672473669,-0.009852150593968954,0.004488633210686119,-0.006235608367080039,-0.002325389706953004,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",0.00011268563907254653,0.0136279042607004,-0.0006810496781360014,-0.0010794249414042988,-0.009240642057901078,-0.0020127672058614814,0.002390689927745949,-0.0004812734675678344,-0.0005393047292124141,0.006019444851712746,-0.0011358944191174085,-0.000706951330331239,0.0007482056793841452,-0.003374997092918916,0.019412228207696572,-0.030165529596534648,0.0,0.0,0.0,0.006989818306809121,0.00552634482356635,-0.024455053108659655,0.0016691398315808988,-0.0034258739108389076,-0.000700879296795888,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.0003214961866086177,0.011494169675491077,0.00017948073080994867,-0.0010563072731549093,-0.00925703570924022,-0.0014864885197444393,-0.0021864800121296542,-0.00048336045985872115,-0.0003256573697382754,0.00579254379326647,-0.00191470455378294,-0.0027720029482787303,0.0016786624423482208,-0.0034784109551798223,0.0171170162782073,-0.02326295843855901,0.0,0.0,0.0,0.005519541820341892,0.003318753110414202,-0.00718085870824077,-0.004831038848920301,-0.006034035594625906,-0.002655496109615674,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",0.0015927771512757654,0.011858868260275235,0.00013710992918773162,-0.0006755419820547097,-0.006019361174919389,-0.002009366588159042,-0.005662777047942985,-0.00017382434484633443,-0.0004435563561591233,0.0037655485895547003,-0.0005170015313408592,-0.0034372134540568695,0.0014803493429314007,-0.0038799129155549133,0.01712954338301312,-0.02512999155643311,0.0,0.0,0.0,0.0077491012655875905,0.005831618725576183,-0.001452936845069582,0.004884928136386655,-0.023335127654400736,-0.003196417631750757,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",0.0008924145014448608,0.010322896377606822,0.00011149206622080367,-0.00044322454455223966,-0.004996639987961814,-0.001331715048714118,-0.004549967179244215,-0.001990670168941672,-0.0006537759100848978,0.003981025544079867,-0.002935843555764718,-0.003079277575016022,0.0018404057892886072,-0.0025409651141275053,0.015858680670234295,-0.017723615464161742,0.0,0.0,0.0,0.007418228970332578,0.005390248674560676,-0.0007763431830839683,0.005332097986882383,-0.005754771158099173,-0.02587386296892708,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",0.0010727868398482151,0.009778795269402592,0.0007858212393793202,-0.0004895983128385113,-0.005445608913221141,-0.00098712970926003,-0.003926241936331446,-0.0013167923248626962,-0.00024564609270204236,0.00424819365143776,-0.001720157475634055,-0.001981149519031698,0.0012278552353382106,-0.002150361016392708,0.012900001911277124,-0.015579417327588257,0.0,0.0,0.0,0.030711624747650188,-0.001976044018837539,-0.012064284299584954,-0.005366447791457175,-0.014666584852066906,-0.014312795343046837,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",0.002825935198502107,0.005809992202980951,0.0005113959041508762,-0.00045980569991198485,-0.005848194404759191,-0.001958334584805099,-0.004116261750459671,-0.00035547555170275976,-0.0005172127857804298,0.0035375682400031524,-0.00038743690672245895,-0.0019928634098984985,0.003300891996107319,-0.004343763522126458,0.016878209791400214,-0.020790510953150012,0.0,0.0,0.0,-0.001231029673733494,0.02855095744471658,-0.007373857657340441,-0.0011182940615849062,-0.014282246811146086,-0.018142841018059037,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*BA, Inulin",0.0001749164678833694,0.010284631800922482,-0.0005271919782866131,-0.0012973605638200584,-0.006911910010332411,-0.0032133174145763566,-4.039069806987558e-05,-0.0007124127887866721,0.00022618597204035004,0.006735695018009706,-0.0010657378218390723,-0.002554767846383831,0.0011487463353709738,-0.0030291932821273804,0.016561931161717933,-0.01858672935515642,0.0,0.0,0.0,-0.0041671203178438275,-0.004317965842783451,0.041258694468574095,-0.0015243671123277057,-0.02498812037435445,-0.02495739546011795,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*BA, Pectin",-0.00037047910419377427,0.00834663963453336,3.0108405785127648e-05,-0.0004463228041475474,-0.007851480096578599,-0.002610531110655178,-0.0031669401038776747,-0.000814879695800218,0.005007202327251433,0.004455389234830033,-0.0005685657804662518,0.0029960322143001996,-0.0010573128644715654,-0.0027472759072076193,0.017421261881562802,-0.022843772409991782,0.0,0.0,0.0,-0.004851415028626269,-0.0004472979090430517,-0.005604162517596376,0.032802817110310904,-0.01582992545921694,-0.023352272324264053,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
