Experiments,ACabs<--ACabs,ACabs<--BAabs,ACabs<--BHabs,ACabs<--BLabs,ACabs<--BUabs,ACabs<--CAabs,ACabs<--CCabs,ACabs<--CHabs,ACabs<--DFabs,ACabs<--ELabs,ACabs<--ERabs,ACabs<--FPabs,ACabs<--PCabs,ACabs<--PJabs,ACabs<--RIabs,ACabs<--pH,ACabs<--Lactate,ACabs<--Butyrate,ACabs<--Acetate,ACabs<--AcGum,ACabs<--ArGal,ACabs<--Inulin,ACabs<--Pectin,ACabs<--Starch,ACabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, Starch",-0.020998809438368137,0.002954760121858933,0.00013855969109995888,-0.00022833386097442053,0.001781778284771876,-0.003542040272361852,-0.005420153627849437,-0.0010522379785437473,-0.0001430244218896738,-0.0004036426146260716,-0.007142287172715772,-0.00010243230245330112,0.0015804349605671383,0.002552258664403449,-0.0005840645087036218,-0.010180269155482,0.0,0.0,0.0,-0.0004737222973595965,0.00015832320363684096,-0.01265399651432579,-0.014421413863416421,0.03324949877505953,-0.0003498232847248959,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",0.024927520594474947,-0.00029423362067477305,9.64106297628446e-05,0.0010967198649252006,-0.00019024046899920158,-0.003464627917009321,-0.005478025314990769,-0.0006277728063816379,5.431909114122355e-05,-0.0006392846248027954,-0.006010133441198956,0.0002463350089436227,0.0018843788484280755,0.0032266985040835376,-0.0006767810576341364,-0.01117989306507463,0.0,0.0,0.0,-0.000633351148360155,3.864887678487784e-05,-0.012668666549196296,-0.013152041770517825,-0.004588737642731179,-0.00724788234907795,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BA, *AcGum",0.013842321077192372,-0.0043652710962024605,0.0016435460627756344,0.0013798938971012822,-0.0023805505375970493,-0.014933446680449628,-0.01893481118604541,-0.0027759640655395657,0.0006685677103020923,-0.00991179582239552,-0.030036081986671147,0.005098312065343966,0.00432321683334356,0.00641332889653065,-0.003318572656505486,-0.01299148695966737,0.0,0.0,0.0,-0.0011017245892435317,0.00312511039220474,-0.02304809022440829,0.007030369083989749,0.005969624818218028,0.0016620852662758395,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",0.011016876601868057,-0.008089564291083,0.000612761026079005,0.003376467872241681,-0.0026406584654680696,-0.014586533829569814,-0.016716291208497498,-0.0023495394152335146,0.0006235241153362123,-0.008636825729838827,-0.027037894121286543,0.004620412852276456,0.0007701775440099565,0.005597479895434596,-0.0030704123052683746,-0.014407549547878177,0.0,0.0,0.0,0.004605595152825118,-0.004559154159135438,-0.02241135950538922,0.006567757846787572,0.006227237140251832,-0.0023777576315809385,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",0.00875912984155796,-0.00631412503309548,0.0008801670110022479,0.0031314800840548484,-0.005090745068578557,-0.011985104747793891,-0.01776297525672073,-0.0021115004703063864,0.0008823015024377541,-0.00030926233919506573,-0.02699165590954097,0.004477844690396026,-0.0010180303344333721,0.006274756751107899,-0.003446417802267454,-0.018564220786264,0.0,0.0,0.0,0.004359332762489263,-0.000327180911024862,-0.04035671846517785,0.007738382752815429,0.008757004063915122,-0.001173969671468843,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.002132965195077387,-0.0022827648803253066,0.003259026602079923,0.00021207305518063614,-0.0011221111675893708,-0.01572481726550243,-0.014510309778323228,-0.004554612787271087,0.0008011948105625124,-0.011458653245459903,-0.027828791527585547,0.003859459558840503,0.0069433142067017875,0.006747127475894308,-0.0028897090230814437,-0.018990970530801198,0.0,0.0,0.0,0.0024797674268484124,0.0010685550480742335,-0.021308689346029,-0.03614272459918125,0.006284067273478616,0.0006482220474969247,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",0.010049137958240778,-0.0020240215804766524,0.001145995265211571,0.0029417580306868654,-0.00032495952549983114,-0.013735511374913835,-0.016933293637226933,-0.0008282831759954042,-0.00016271218742159273,-0.007362613367255439,-0.025470279801467603,0.004187135614285414,0.004547024450518868,0.007727826575494625,-0.0023497125235470862,-0.017205771025778218,0.0,0.0,0.0,0.004827134564349598,0.002319401225752452,-0.026370759470896288,0.007322045774622396,-0.008064952016892758,8.9335636320442e-06,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",0.015574898371811615,-0.005530565773898904,0.001174795771525664,0.002228683415292339,-0.007914612532847306,-0.013602419478649446,-0.018465065192431206,-0.0012380336716093802,8.224855769764375e-05,-0.0063991747254675095,-0.028392848338593134,0.004033947433768348,0.0017457779615440143,0.006631962514736438,-0.004484517440538514,-0.014039054653522643,0.0,0.0,0.0,0.0041195959470827475,0.0024977860997684983,-0.02410832391797819,0.008326284426518461,0.005388147411867975,0.00338099319233813,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",-0.002963557272133502,-0.020425431791015646,0.0020006493690677657,-0.0002423531096428633,-0.0027992104722017602,-0.019075601993297983,-0.010692198411138219,0.0009109859109263513,-0.0006316035503352224,-0.008463899840346789,-0.016291240865195344,0.003112439911981875,0.007595479310574856,-0.008500817300413143,-0.003454962941733273,-0.03128337792205539,0.0,0.0,0.0,-0.0008959973434155662,-0.004878470055250959,-0.03536574243567883,-0.033776245692067525,-0.01025646063668484,0.0016151554882526398,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",0.0036388764555820023,-0.006101005546409974,0.003196489609439265,-0.003645428153262897,-0.0061899361361495465,-0.011556193308735434,-0.018667841259898107,-0.0009049078500406309,0.00044618775729428573,0.002248974675312638,-0.019547057619149034,0.0014203069181266145,0.009281848551366819,0.008369127974252811,-0.0022939478843049567,-0.024683555122464895,0.0,0.0,0.0,-0.0026139474016698932,0.02640633582137525,-0.03345163837329232,-0.03352036118592051,-0.005528322606432167,0.0036604525606063285,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
