Experiments,PJabs<--ACabs,PJabs<--BAabs,PJabs<--BHabs,PJabs<--BLabs,PJabs<--BUabs,PJabs<--CAabs,PJabs<--CCabs,PJabs<--CHabs,PJabs<--DFabs,PJabs<--ELabs,PJabs<--ERabs,PJabs<--FPabs,PJabs<--PCabs,PJabs<--PJabs,PJabs<--RIabs,PJabs<--pH,PJabs<--Lactate,PJabs<--Butyrate,PJabs<--Acetate,PJabs<--AcGum,PJabs<--ArGal,PJabs<--Inulin,PJabs<--Pectin,PJabs<--Starch,PJabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Inulin-Starch-Xylan,-0.003386338551839193,-0.018273378411928814,0.001152397443850835,-0.006080446143945058,-0.06027649032572905,-0.0008987622956434885,0.01312114049990972,-0.006659428899486859,-0.0004965023448069891,0.003834086780746778,-0.007122868051131566,0.0007134781529506048,0.0012121082593997319,0.031166058654586475,0.0016335112353165944,0.0,0.0,0.0,0.0,0.015455784897009531,0.016183987880746525,-0.0003976114094257355,0.0,0.008821977923313776,0.010297294706106186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.2,0.0,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,-0.01411706954240799,-0.03697404824197292,0.006769159808754921,0.010947521775960922,-0.04552927613258362,0.0038030793269475303,0.0010169533391793568,-0.002644788473844528,-0.0017571952193975449,0.005490689227978389,-0.005865013847748439,-0.005535819257299106,0.004669095699985822,0.029232437411944073,0.010255549103021622,0.0,0.0,0.0,0.0,0.02354101650416851,0.02325171170135339,0.0,0.0057491206874450045,0.0004811113079388936,0.017741240561008453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.2,0.0,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-Inulin-Pectin-Starch-Xylan,-0.006911788135766983,-0.014209004739920298,0.014001754422982534,-0.0035673193633556366,-0.02500746895869573,0.0029189238945643106,0.0002698165675004323,-0.006525753686825435,-0.001594218115011851,0.00011102234323819478,0.005714140832424164,0.0009630595644315084,-0.004970515767733256,0.01687917299568653,0.0029596624275048575,0.0,0.0,0.0,0.0,0.005927080909411113,0.0,-0.001342877745628357,0.00247731680671374,0.006118078405658404,0.005788917342821757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.2,0.0,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.0033124864101409914,-0.002096228798230489,0.010003099838892618,0.004177298148473104,-0.10663468738396963,-0.0037019227941830954,0.016000915070374808,0.0068281546235084535,0.0013235201438268026,0.012347965439160665,-0.01574969490369161,0.00876240481932958,-0.0005002071460088094,0.10357118397951126,0.013172859450181325,0.0,0.0,0.0,0.0,0.0,0.07876107096672058,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,1.0,0.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal-Inulin-Pectin-Starch-Xylan,-0.0036009798447291055,-0.010049080476164818,0.00807983304063479,0.010835496708750725,-0.036426493898034096,-0.007202596093217532,0.010223605980475744,-0.0057185788949330645,-0.0028133392333984375,-0.017385088528196018,-0.006104470541079839,-0.0012532932062943776,0.008803875495990118,0.020683595289786656,0.003468599791328112,0.0,0.0,0.0,0.0,0.0,0.010427252079049746,-0.0025356256713469825,0.007388296226660411,0.0018693823367357254,0.009391382957498232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.2,0.2,0.2,0.2,0.2
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Inulin,-0.006953543424606324,-0.0009215245644251506,0.001072654128074646,0.0034957975149154663,0.005914517243703206,0.0011671031514803568,-0.003512119253476461,0.0027124732732772827,-0.001295064886411031,-0.0022345592578252157,-0.0032224570711453754,-0.0008899261554082235,-0.011629818876584371,0.005304746826489766,0.005049099524815877,0.0,0.0,0.0,0.0,0.0,0.0,0.005942621827125549,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,1.0,0.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,-0.017412486672401428,-0.00538594126701355,0.009611490368843078,0.00535870095094045,-0.008018089830875397,-0.006955817838509877,0.0015925288200378418,-0.0048791468143463135,-0.0026843756437301635,-0.01237995723883311,-0.0048242767651875814,-0.0026677072048187254,-0.0055387914180755615,0.004430138568083445,0.007912095387776692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010666380822658538,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,1.0,0.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Starch,-0.001489706834157308,-0.0027487417062123615,0.0024583463867505393,0.00012746552626291912,-0.008152366677920023,-0.002403786778450012,0.0031627774238586425,-0.0018382613857587178,-0.0008160084486007691,0.0031545162200927734,-0.002728329102198283,-0.0002303550640741984,0.004840067028999329,0.0008775244156519572,0.0011363248030344644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004650534192721049,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,1.0,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,0.005982782443364461,-0.030269829928874968,0.004310077428817749,0.011313324173291525,-0.026399155954519908,0.00790788580973943,0.013490910828113555,0.0016275967160860698,-0.00410275806983312,-0.0008846461772918701,-0.008151365319887798,0.004305333892504374,-0.004734556376934052,0.03735178560018539,0.010926355421543122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04337136497100194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.9160819302713719,0.0,0.0,0.0,0.0,0.0,1.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-Starch,-0.0008015846833586693,-0.006107652559876442,0.0019019967876374722,0.00014506373554468155,-0.0036441534757614136,0.0015728585422039032,0.0028735455125570297,-0.005074257031083107,-0.0004707975313067436,-0.00690542021766305,-0.0015167547389864922,0.0002821898087859154,0.003484924789518118,0.01184017164632678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002419869415462017,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7143214285714541,0.7936904761904762,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
