Experiments,BAabs<--ACabs,BAabs<--BAabs,BAabs<--BHabs,BAabs<--BLabs,BAabs<--BUabs,BAabs<--CAabs,BAabs<--CCabs,BAabs<--CHabs,BAabs<--DFabs,BAabs<--ELabs,BAabs<--ERabs,BAabs<--FPabs,BAabs<--PCabs,BAabs<--PJabs,BAabs<--RIabs,BAabs<--pH,BAabs<--Lactate,BAabs<--Butyrate,BAabs<--Acetate,BAabs<--AcGum,BAabs<--ArGal,BAabs<--Inulin,BAabs<--Pectin,BAabs<--Starch,BAabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*AC, Starch",0.016231270017610353,0.1161553756029091,0.0006705095348033086,0.007162615675479173,0.010914214085787534,-0.005355229773982002,-0.013206542843783446,-0.0009976711259646815,0.0001652705449272298,0.012024915131994269,-0.028398468589240854,0.00028283136473460373,-0.024439918156713255,0.0017403777502477153,-0.003761119510639799,-0.015521500730379063,0.0,0.0,0.0,-0.02003489830446514,0.002390406990254466,0.002834505613215953,-0.009787368957291953,0.2393945324657993,-0.03177318592301824,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,1.0,0.0
"*AC, Xylan",0.014617783974178815,0.10267048586498607,0.000802398723634802,0.003481183187528091,-0.008216193348846655,-0.002094703047451643,-0.0016243159770965602,-0.0024060855145481524,0.0021096929907798764,0.0023121033321050043,0.009105366495522588,-0.00036625872958790106,-0.002039721735160456,-0.008266198101707476,0.004993145845153115,-0.03873207529160108,0.0,0.0,0.0,-0.03032804180275309,-0.005560789494351908,-0.015394442277875814,-0.008980610328303136,-0.053837515130977724,0.23477564115246594,0.0,0.9999550022498874,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,0.0,0.0,1.0
"*BA, *AcGum",-0.000779782476072962,-0.08146832061084831,0.0007745954343541115,0.00021500146693804033,0.0021088640154762676,-0.0004785007221454918,-0.005212765395302662,0.0014979574880139388,0.0005806149169802658,0.007487467246299443,0.00015834390439770465,-0.0003655600920319552,-0.004058919140899723,-0.001495908026329497,0.0004904561354355377,-0.015621687981554054,0.0,0.0,0.0,-0.008409983588551932,0.003135677149349994,0.0010832446356388672,0.0014013931358402426,0.0030287754654207025,0.008561575886878099,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",-0.0007546025480736383,-0.09705281706357546,0.001094556645574895,-0.0005279568227177303,0.002042434437369759,4.9444958567619346e-05,-0.005986476245928894,0.000599541750482538,0.0005384661392732105,0.006734195988286628,0.0005691115913743334,-0.00020111401819370193,-0.002955973353236914,-0.001838667071001096,0.0006219717538492241,-0.017199354259805247,0.0,0.0,0.0,0.011643482661721383,-0.0009678250534290615,0.0010542922483926457,0.0002476884949613708,0.004634748768400064,0.010287389259108087,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",-0.0016702683185311888,-0.08760803435675123,0.0006114179099147971,1.7770813270048498e-05,0.0017654584703797641,-0.0007292388379573813,-0.005347288719971071,0.0012628621523353195,0.0005844511447305026,0.005960163612934676,0.0008392092805694432,-0.00034237142482941666,-0.0028432856872677814,-0.0018663317354565305,0.0005384642156687652,-0.01610198289494623,0.0,0.0,0.0,0.010409546917812392,0.003408303277736359,-0.010872846636921169,0.0006984070790084939,0.004964983260089701,0.008953148365359414,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.00019621274518695782,-0.09888412488963118,0.0007784127359363158,0.0002989136867902491,0.0016432428173720837,-0.0004244727827608592,-0.00533563529733907,0.0007531244832683696,0.0004348649236966259,0.007629727279259399,-0.00034417496824806266,-0.0003738712282343346,-0.0026405979252674366,-0.0012641215188936759,0.0005082722770219505,-0.01630631356754086,0.0,0.0,0.0,0.010771653398194097,0.003891777345402676,5.617201836271713e-05,-0.003982055900110439,0.0035250975902784976,0.01170043384148316,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",-0.0012072847427969631,-0.08238822144032881,0.0008421995321458031,9.57561318169906e-06,0.0021479641172018915,-0.00024070846763524096,-0.004763312896882945,0.0016233492202379497,0.00048324665054679005,0.006527534100142393,0.0008046738430857667,-0.00034560868685895775,-0.0028959312154488133,-0.0017572453702715304,0.0003939900123937571,-0.016383498026566076,0.0,0.0,0.0,0.01147625123912638,0.004085083434527571,-0.0009421285715970119,0.0008185573142360542,-0.014890667051076889,0.009234718621115794,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",-0.002153725542805412,-0.07622175823727792,0.0011821231398392805,0.00020527926696972361,0.00241760426793586,-2.4796385656703452e-05,-0.006051140405576339,0.0017330831187692553,0.0007343572835353293,0.006045461842282252,0.000496468906375496,-0.00021631163629618364,-0.003295792720534584,-0.0015710332498631698,0.00019233815371990195,-0.01724582275545055,0.0,0.0,0.0,0.010366891901940107,0.0035152298618446706,0.000688941473649307,0.0011021087132394314,0.002322431303222071,-0.011589394166049632,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",-0.0009345470758324333,-0.10751494441350755,0.0010743782229044227,3.087516366080797e-05,0.0009844855337657725,-0.0003305483965033843,-0.004665813998065213,0.0007370276461270719,0.0007421699521893796,0.00406962045214393,-5.447492003438587e-07,-0.00019946306097236584,-0.0030579930035905447,-0.0021777255071157775,0.0002186303551901506,-0.011122140073302117,0.0,0.0,0.0,0.08008930187333715,-0.00037312810732559646,-0.016077192762697288,-0.004205370611426503,-0.014522301615639168,-0.010132238345051354,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",-0.001010841591791673,-0.03678452771326358,0.0002482819929718973,0.0001307900724085898,0.0015389499339190397,-0.0004927560466934327,-0.003683503686704419,0.0005802148478952323,-6.617444652047997e-05,0.005003443035212429,0.00020881744440306361,2.2116227244788382e-05,-0.002240730319172144,-0.001753998005932028,0.0002463824318891222,-0.014447690947827966,0.0,0.0,0.0,-0.008083159796554933,0.011300473423166708,-0.00964415805922313,-0.0037638054720380105,-0.014743880030106415,-0.009931706891141152,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
