Experiments,PCabs<--ACabs,PCabs<--BAabs,PCabs<--BHabs,PCabs<--BLabs,PCabs<--BUabs,PCabs<--CAabs,PCabs<--CCabs,PCabs<--CHabs,PCabs<--DFabs,PCabs<--ELabs,PCabs<--ERabs,PCabs<--FPabs,PCabs<--PCabs,PCabs<--PJabs,PCabs<--RIabs,PCabs<--pH,PCabs<--Lactate,PCabs<--Butyrate,PCabs<--Acetate,PCabs<--AcGum,PCabs<--ArGal,PCabs<--Inulin,PCabs<--Pectin,PCabs<--Starch,PCabs<--Xylan,ACabs,BAabs,BHabs,BLabs,BUabs,CAabs,CCabs,CHabs,DFabs,ELabs,ERabs,FPabs,PCabs,PJabs,RIabs,AcGum,ArGal,Inulin,Pectin,Starch,Xylan
"*BA, *AcGum",0.0007152788451110764,0.0015043429175222458,-0.003281125615096905,-0.0019515810475092044,-0.024075818646021863,-0.004702076298100027,-0.0010425848945636639,-0.004621322199871595,-0.0007372492915866048,-0.010007257096638737,-0.0046428027664395894,-0.002147667888043956,0.013835461175238541,-0.003624372973360798,-0.004249386442825198,-0.0017839091000231829,0.0,0.0,0.0,-0.0027474546297030014,-4.835829731415704e-05,-0.0016937694182111449,-0.007921779669651933,-0.012613701841539956,-0.002785837448794733,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.2,0.2,0.2,0.2,0.2
"*BA, *ArGal",0.0031218334592201494,-0.0011791566564616832,-0.0019974148476665666,-0.0014286454419859434,-0.029015644861554557,-0.006790158044208181,0.001531530153006315,-0.003455550438639793,-0.0016803052902899006,-0.014982472103597088,-0.004788111368702217,-0.002321524714035067,0.017301019241356033,-0.001934197961606763,-0.0034670741060240703,-0.0028164923978461452,0.0,0.0,0.0,0.004350459924475713,0.0010690359847450794,-0.0017991290156814182,-0.002874472167512232,-0.009585060027681969,-0.00127935317514295,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.0,0.2,0.2,0.2,0.2
"*BA, *Inulin",0.0013488815563984888,-0.0010566380112008618,-0.0007201657257974152,-0.00012464375404471764,-0.019019874282689253,-0.003890434233471751,-0.0012199517864395272,-0.003905448266728358,-0.001541044459762899,-0.00838985112072392,-0.006422137965194205,-0.0032960927080024367,0.01626282958229157,-0.0029019381834024735,-0.0023641600248149844,-0.0010402629482136533,0.0,0.0,0.0,0.00562626654620875,-0.00028622794896364227,-0.007342179325324568,-0.002469533043490215,-0.005213671818544919,-0.0010203497924587944,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.0,0.2,0.2,0.2
"*BA, *Pectin",0.0020065315677361053,0.0013905135305090383,-0.001332069834355603,-0.0011063562951643367,-0.026637252137403592,0.0005139645824039515,-0.0007519677594642747,-0.002896355757151138,-0.0014880223623053598,-0.007034808242354879,-0.00405397529798475,-0.0022793109410188415,0.01708241029219194,-0.0035663916551592666,-0.0024503716640174385,0.0032024115798148247,0.0,0.0,0.0,0.0066555613507940006,-0.00021564917046238062,-0.0011079180206764834,-0.009197047920050948,-0.005593250162730163,0.0011099468366327617,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.0,0.2,0.2
"*BA, *Starch",0.001771344704214822,0.002873411157422445,-0.0022565367826345283,-0.0005823547452349552,-0.030732347246428784,-0.0034295963783833126,-0.00019359226592562456,-0.002969182461330836,-0.001479026026685129,-0.01264206017367542,-0.0030279843966391955,-0.001170468718998811,0.017975142786956645,-0.0023702647198330274,-0.002577379984273152,0.002034061366522853,0.0,0.0,0.0,0.007139775205234234,-0.00033827454783022395,0.00013828159140592206,-0.002739444293759086,-0.0025031719797036864,-0.0006697394224730404,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.0,0.2
"*BA, *Xylan",0.0010443222658200696,0.0027820029516111722,-0.0014082771514288396,-0.0019576153057542715,-0.017074137683957814,-0.002501615373079073,-0.00158587092449042,-0.002611326714130965,-0.001215899620543827,-0.002134764163162221,-0.000751408451152119,-0.0015402254750105468,0.011951273329217325,-0.0021305089249190963,-0.0003282218443399123,0.0003285511252893641,0.0,0.0,0.0,0.003528455719351768,0.0006111552447757938,-0.003996725610711358,-0.002684458460320126,-0.0024501641636545004,-0.013623948284340177,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.2,0.2,0.2,0.2,0.2,0.0
"*BA, AcGum",0.0014889164717698635,0.0004346211576326322,-0.0008619346105578272,-0.0005066588114608423,-0.015191751876845953,-0.00231795374896716,-0.0003514682442288501,-0.002844259055670012,-0.0018615025679834863,-0.009744412032887338,-0.0015608716730705714,-0.0015743597148155626,0.017957854176956143,-0.004091407116502525,-0.0010861404917456884,0.006945509554987603,0.0,0.0,0.0,0.025627233071083375,0.0004920835132625972,-0.023200640498067845,-0.009120974873446604,-0.004316802594641394,-0.012064485612579367,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,1.0,0.0,0.0,0.0,0.0,0.0
"*BA, ArGal",0.0008091570276089693,0.00034716390835290624,-0.0018611703889275133,-0.0007208998628299343,-0.015622155058451671,-0.0016351828055286954,-0.00021229685792191475,-0.0015974346412853764,-0.0012356313030150807,-0.0027551403260705144,-0.0007245892989025878,-0.0009483346774835481,0.013463640654120933,-0.0017126087243245407,-0.0013491133270277225,0.0019330478781326252,0.0,0.0,0.0,-4.581709561700181e-05,-0.004830281336537817,-0.0044386884646320885,-0.0029890492964874606,-0.0012103146162222727,-0.010413709395480426,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,1.0,0.0,0.0,0.0,0.0
"*BA, Inulin",-0.0011651932439682143,0.005497298559004608,-0.01471418510868468,-0.013131274621595036,-0.07374661471694707,-0.009398272400721906,-0.0023868612589483928,-0.008994885451075702,-0.009106736215339466,-0.05281731223348867,-0.0021472662805833587,-0.006837472286583346,0.01946740373969078,-0.021564403103495187,-0.0049557996685193366,-0.0045123144061389306,0.0,0.0,0.0,-0.012578008044511075,-0.0023521189086816528,0.03314653921195052,-0.0028447109223766766,-0.0038088653236627566,-0.019789101570336656,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,1.0,0.0,0.0,0.0
"*BA, Pectin",0.0066040176923640725,-0.0017428867391903302,-0.0005280572336844423,0.0012052321654151777,-0.022337008442052383,-0.0038637985941022625,-0.004117491300302473,-0.0015156586696817127,-0.0011539922637695621,-0.0016206957162781205,-0.007223281354897405,-0.005024206238714129,0.032910832184451545,-0.0029380187527699897,-0.0037631653147664926,0.0011211916448717763,0.0,0.0,0.0,-0.005300581738014113,0.0037666601704602885,0.0005111919673667717,0.061882575575092975,-0.009660857795653016,-0.02344700581817464,0.9999550022498874,0.0,0.9999550022498874,0.09999550022498875,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.9999550022498874,0.7142892857143112,0.7936547619047618,0.9999550022498874,0.9160407086455908,0.0,0.0,0.0,1.0,0.0,0.0
