Experiments,Time,ACabs true,ACabs pred,ACabs stdv,BAabs true,BAabs pred,BAabs stdv,BHabs true,BHabs pred,BHabs stdv,BLabs true,BLabs pred,BLabs stdv,BUabs true,BUabs pred,BUabs stdv,CAabs true,CAabs pred,CAabs stdv,CCabs true,CCabs pred,CCabs stdv,CHabs true,CHabs pred,CHabs stdv,DFabs true,DFabs pred,DFabs stdv,ELabs true,ELabs pred,ELabs stdv,ERabs true,ERabs pred,ERabs stdv,FPabs true,FPabs pred,FPabs stdv,PCabs true,PCabs pred,PCabs stdv,PJabs true,PJabs pred,PJabs stdv,RIabs true,RIabs pred,RIabs stdv,pH true,pH pred,pH stdv
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-ArGal,1.0,0.0053181272188653,0.0020023090163530273,0.02531790894414268,0.0,0.0,0.05967016949065659,0.0008287990470958,0.0,0.034806606337715706,4.60443915053277e-05,0.0,0.009347505891019955,0.351203596206887,0.4567732411112364,0.10860698747097257,0.0055943935678973,0.0,0.041501319098177836,0.0938154476921053,0.05754947752256626,0.057415858080267675,0.0056634601551553,0.0027159576916720427,0.028387103287368574,0.0097614109991294,0.009516163451485517,0.02027752230434278,0.074108448127825,0.11236884003803944,0.04710775367452194,0.0894182083033465,0.024755807850832503,0.07749709445841008,0.0692737870197656,0.04415285176533244,0.06107677627999067,0.0036605291246735,0.0,0.056540533117807074,0.0422457292061382,0.034638527409231366,0.029437096649024955,0.002048975421987,0.0,0.035931578372563305,7.00170395013053,7.029693208585556,0.2557705848024613
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,0.0,0.0,0.0,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-AcGum-ArGal-Pectin-Starch-Xylan,1.0,0.0,0.0,0.02333528745267854,0.0991909142403168,0.10650819147066343,0.06734888531555604,0.0027048225442608,0.011712673576633298,0.03215694650092594,0.0005494170793029,0.00475990836335319,0.008941772922111287,0.206031404738621,0.20835217724714444,0.10688310721070954,0.005029279418235,0.020586807894400497,0.031115793178131658,0.0529130910221034,0.046202098478326487,0.05525947449864733,0.0944152119356061,0.07978617677303723,0.027543769295150806,0.0111996558473302,0.016833767775674902,0.01939177543213819,0.104600559328838,0.11694650259737349,0.04393677183673227,0.150624805433527,0.1462314161824795,0.07576214102684346,0.109587575894819,0.10995069782139132,0.06017184232330628,0.0142003183573696,0.033529660492163306,0.05441783202533405,0.0275553796696577,0.03142557209668862,0.028332953733646804,0.0507576855571455,0.07024094624723137,0.03416166906432107,6.7845232330999,6.786663449850365,0.2506814763855814
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Pectin-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0,0.0,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-AcGum-ArGal-Inulin-Pectin-Xylan,1.0,0.050944487721741,0.03306684569119162,0.025796313135689933,0.155454767902583,0.14237204405824444,0.06820902111983958,0.0054705490170997,0.022489530819192388,0.032236947077538707,0.0014816070254645,0.00023675748442984567,0.008851913337532132,0.198535341412243,0.15588529437430232,0.10640758735995512,0.0116249166613369,0.04126245880205049,0.02436087867467178,0.0592642810185801,0.06878715149277867,0.053331635621550466,0.0003419093135687,0.01769551472100659,0.029564187878127892,0.0063823071866163,0.0152027972549216,0.018696958964542414,0.0966463659687614,0.08837509443650181,0.04608725608775791,0.181097966420238,0.225840365827246,0.08546394775231121,0.261104745795321,0.22510856212360764,0.0655638572621424,0.0600620694169071,0.1085515112631313,0.04872297751258174,0.0321394754754607,0.016929918377693004,0.027139499055357116,0.0,0.0,0.03354577915559372,6.79125016379864,6.586221359085154,0.240670937329755
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Pectin,1.0,0.10310024040442,0.08907072180934364,0.025941096683622458,0.0286442542720882,0.02318255107294146,0.06679565819222008,0.0014942063826727,0.0,0.03107114516426038,0.0002225413761427,0.0,0.00900076021764484,0.0879992184518759,0.14698679610067875,0.10394871760812512,0.0065808664087927,0.0,0.020736137884437168,0.0488955195010784,0.049212190204614106,0.05127813670539177,0.0552220529085652,0.05234425832060967,0.029098428479057026,0.0083294057927714,0.015186248771681777,0.01826612411971267,0.0929587119773429,0.09631550195122622,0.04554107711295178,0.0461932313622022,0.033888631534952564,0.07971462958167276,0.272708560650358,0.21277097334472544,0.0628029508449033,0.0510573500121794,0.0863237547838753,0.048169880205475336,0.0299159192786182,0.016927205888291667,0.025637662792944774,0.0020982472607745,0.00969324755485514,0.03546309029587126,6.80615831126649,6.756524489685285,0.23723700778851686
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,0.0006667,0.0006667,0.0,6.7,6.7,0.0
AC-BA-BH-BL-BU-CA-CC-CH-DF-EL-ER-FP-PC-PJ-RI-Xylan,1.0,0.0212586247263377,0.022178095327680922,0.025474621429198003,0.446616298910986,0.3239068277445184,0.06635796469531967,0.0061850005736905,0.0017164350499007015,0.030979715632608172,0.0001851796578949,0.0,0.008610634550165839,0.292324607952932,0.4267750853623518,0.10393493475752016,0.0155550912631739,0.0,0.019518939659337875,0.0759977316000782,0.07406286633324133,0.05097990993403077,0.0009629342210536,0.006860517595421509,0.029052819315664665,0.0045554195842152,0.007054601704988516,0.01812195753727121,0.0244066789105514,0.008536982013106957,0.045301575371353674,0.115329890936961,0.1281732833204517,0.0791910067513032,0.0308879669368739,0.018590990838972525,0.0629386709189331,0.0264806910789746,0.02994667326438193,0.046522720394095725,0.0391469796789876,0.07223384832410497,0.026737705028414268,0.0137403306158036,0.04614306266129434,0.03529280676391614,6.60247529199692,6.545985326048083,0.2339907952274495
